parameter,point_estimate,CI_lo,CI_hi,n_boot
nu_R1,2.8822073829666377,2.6480156823857945,63.17736201013981,163
nu_R2,5.194150035053007,2.5,45.98781183579661,163
nu_R3,14.175698789185873,3.5115970073738407,200.0,163
nu_R4,7.944501372529686,3.493510763687593,200.0,163
vol_ann_pct_R1,2.96,1.537662809766996,3.8365783900776753,163
vol_ann_pct_R2,3.8,2.9874181277256637,4.6522541889576425,163
vol_ann_pct_R3,4.01,3.652762137090433,5.734060144525929,163
vol_ann_pct_R4,6.18,4.800859162199759,8.560864543458466,163
VaR_95_pct_unconditional,-0.4149244444356718,-0.4375349749101021,-0.34476252516500144,163
ES_95_pct_unconditional,-0.5968722952217035,-0.6436418899679593,-0.500064232797925,163
VaR_99_pct_unconditional,-0.7001381197468108,-0.7550802146836162,-0.5837078986958476,163
ES_99_pct_unconditional,-0.9115864603714264,-1.0365494728524887,-0.7453383321199109,163
breach_rate_99_pct,0.8849557522123894,0.5530973451327433,1.991150442477876,163
