model,level,alpha,n_breach,Z2,p_value,CI_lo,CI_hi,verdict
t-HMM,99%,0.01,2,-0.5620110075146507,0.1016,-1.0,0.10964197017455035,калиброван
t-HMM,95%,0.05,20,-0.03837285757921116,0.8355,-0.43414433888179405,0.4063285637113097,калиброван
Gaussian,99%,0.01,10,1.4372581202953065,0.043,0.052385798324188215,3.0565178714116077,занижает риск (ES не покрывает потери)
Gaussian,95%,0.05,24,0.27334726292624145,0.2778,-0.2023608012523301,0.8067395999192152,калиброван
Empirical,99%,0.01,5,0.13627637884069554,0.8614,-0.759893316923578,1.2390070791204182,калиброван
Empirical,95%,0.05,26,0.24092433521373646,0.3108,-0.20567172862789335,0.7393600930516175,калиброван
EVT-GPD,99%,0.01,4,-0.08134077448737087,0.7495,-0.7912549281458439,0.8936219640261069,калиброван
EVT-GPD,95%,0.05,27,0.2739816679946654,0.2494,-0.17432310131815584,0.7743030170159898,калиброван
GARCH-t,99%,0.01,2,-0.5697535040586537,0.1053,-1.0,0.08536667618611982,калиброван
GARCH-t,95%,0.05,19,-0.15969629674826136,0.4118,-0.5156849713704599,0.2454136650055724,калиброван
